NL,SQL
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch customers with age above 809,SELECT * FROM loans WHERE age > 809;
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the total credit_score of all loans,SELECT SUM(credit_score) FROM loans;
list customers with disbursement_amount more than 970,SELECT * FROM loans WHERE disbursement_amount > 970;
list people with age greater than 138,SELECT * FROM loans WHERE age > 138;
what is the minimum disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
list borrowers with credit_score more than 5292 and disbursement_amount less than 569,SELECT * FROM loans WHERE credit_score > 5292 AND disbursement_amount < 569;
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the highest disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
what is the total disbursement_amount of all loans,SELECT SUM(disbursement_amount) FROM loans;
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me customers where tenure_months greater than 661,SELECT * FROM loans WHERE tenure_months > 661;
list customers having tenure_months over 664,SELECT * FROM loans WHERE tenure_months > 664;
display the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
give me people ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
show the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch customers where credit_score above 39577 and tenure_months not exceeding 435,SELECT * FROM loans WHERE credit_score > 39577 AND tenure_months < 435;
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
list people having credit_score greater than 11071 and tenure_months under 486,SELECT * FROM loans WHERE credit_score > 11071 AND tenure_months < 486;
display customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
show clients with credit_score over 40064 and tenure_months not exceeding 695,SELECT * FROM loans WHERE credit_score > 40064 AND tenure_months < 695;
give me customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
fetch customers having tenure_months over 7362 and credit_score less than 729,SELECT * FROM loans WHERE tenure_months > 7362 AND credit_score < 729;
show borrowers having tenure_months over 13611 and disbursement_amount less than 627,SELECT * FROM loans WHERE tenure_months > 13611 AND disbursement_amount < 627;
show borrowers where tenure_months more than 621,SELECT * FROM loans WHERE tenure_months > 621;
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch clients having credit_score above 598,SELECT * FROM loans WHERE credit_score > 598;
fetch the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
